artist,song_name,weekly_rank,week_of
17,NC,41,8/18/2018
800,1,45,2/24/2018
800,1,40,2/17/2018
800,1,33,2/10/2018
800,1,46,2/3/2018
800,1,45,1/27/2018
800,1,44,1/20/2018
800,1,33,1/13/2018
800,1,34,1/6/2018
800,1,22,12/30/2017
800,1,19,12/23/2017
800,1,14,12/16/2017
800,1,13,12/9/2017
800,1,8,12/2/2017
800,1,6,11/25/2017
800,1,4,11/18/2017
800,1,3,11/11/2017
800,1,3,11/4/2017
800,1,3,10/28/2017
800,1,4,10/21/2017
800,1,4,10/14/2017
800,1,4,10/7/2017
800,1,3,9/30/2017
800,1,5,9/23/2017
800,1,9,9/16/2017
800,1,29,9/9/2017
800,1,37,9/2/2017
800,1,50,8/26/2017
800,1,52,8/19/2017
800,1,57,8/12/2017
800,1,55,8/5/2017
800,1,61,7/29/2017
800,1,64,7/22/2017
800,1,64,7/15/2017
800,1,68,7/8/2017
800,1,68,7/1/2017
800,1,65,6/24/2017
800,1,62,6/17/2017
800,1,63,6/10/2017
800,1,64,6/3/2017
800,1,47,5/27/2017
800,1,61,5/20/2017
2 Chainz,4:00 AM,95,9/9/2017
2 Chainz,4:00 AM,90,9/2/2017
2 Chainz,4:00 AM,93,8/26/2017
2 Chainz,4:00 AM,83,8/19/2017
2 Chainz,4:00 AM,88,8/12/2017
2 Chainz,4:00 AM,83,8/5/2017
2 Chainz,4:00 AM,76,7/29/2017
2 Chainz,4:00 AM,65,7/22/2017
2 Chainz,4:00 AM,59,7/15/2017
2 Chainz,4:00 AM,55,7/8/2017
2 Chainz,4:00 AM,84,7/1/2017
2 Chainz,4:00 AM,73,6/24/2017
2 Chainz,It's A Vibe,79,11/11/2017
2 Chainz,It's A Vibe,68,11/4/2017
2 Chainz,It's A Vibe,68,10/28/2017
2 Chainz,It's A Vibe,64,10/21/2017
2 Chainz,It's A Vibe,66,10/14/2017
2 Chainz,It's A Vibe,60,10/7/2017
2 Chainz,It's A Vibe,60,9/30/2017
2 Chainz,It's A Vibe,51,9/23/2017
2 Chainz,It's A Vibe,48,9/16/2017
2 Chainz,It's A Vibe,44,9/9/2017
2 Chainz,It's A Vibe,47,9/2/2017
2 Chainz,It's A Vibe,46,8/26/2017
2 Chainz,It's A Vibe,53,8/19/2017
2 Chainz,It's A Vibe,62,8/12/2017
2 Chainz,It's A Vibe,56,8/5/2017
2 Chainz,It's A Vibe,64,7/29/2017
2 Chainz,It's A Vibe,63,7/22/2017
2 Chainz,It's A Vibe,63,7/15/2017
2 Chainz,It's A Vibe,58,7/8/2017
2 Chainz,It's A Vibe,95,7/1/2017
2 Chainz,Momma I Hit A Lick,100,3/16/2019
2 Chainz,Proud,99,4/21/2018
2 Chainz,Proud,96,4/14/2018
2 Chainz,Rule The World,98,5/25/2019
2 Chainz,Rule The World,94,3/16/2019
2 Chainz,Whip,75,3/16/2019
2 Chainz,Good Drank,97,7/15/2017
2 Chainz,Good Drank,70,7/8/2017
2 Chainz,Good Drank,94,7/1/2017
2 Chainz,Good Drank,84,6/24/2017
2 Chainz,Good Drank,87,6/17/2017
2 Chainz,Good Drank,88,6/10/2017
2 Chainz,Good Drank,89,6/3/2017
2 Chainz,Good Drank,86,5/27/2017
2 Chainz,Good Drank,88,5/20/2017
2 Chainz,Good Drank,99,5/13/2017
2 Chainz,Good Drank,96,5/6/2017
2 Chainz,Good Drank,82,4/29/2017
2 Chainz,Good Drank,95,4/22/2017
2 Chainz,Good Drank,95,4/15/2017
2 Chainz,Good Drank,93,4/1/2017
2 Chainz,Good Drank,92,2/11/2017
21 Savage,1.5,86,1/5/2019
