Name,,Artist,Features,Streams,Week
3:15,,*NSYNC,,2203998,12/28/2018
4:00 AM,,*NSYNC,,1770897,12/7/2018
4:00 AM,,*NSYNC,,1715615,12/21/2018
4:00 AM,,2 Chainz,"Drake, Quavo",2695149,7/20/2018
4:00 AM,,2 Chainz,,2306931,11/10/2017
4:00 AM,,2 Chainz,,1510706,11/10/2017
4:00 AM,,2 Chainz,,3332290,8/25/2017
4:00 AM,,2 Chainz,,2660105,8/25/2017
4:00 AM,,2 Chainz,,1775851,3/10/2017
4:00 AM,,2 Chainz,,3263522,8/18/2017
4:00 AM,,2 Chainz,,2865754,8/18/2017
4:00 AM,,2 Chainz,,2866748,6/9/2017
4:00 AM,,2 Chainz,,1455987,6/9/2017
4:00 AM,,2 Chainz,,4480859,6/23/2017
4:00 AM,,2 Chainz,,3242186,6/23/2017
4:00 AM,,2 Chainz,,2445404,6/23/2017
4:00 AM,,2 Chainz,,1896735,6/23/2017
4:00 AM,,2 Chainz,,1473267,6/23/2017
4:00 AM,,2 Chainz,,1463617,6/23/2017
4:00 AM,,2 Chainz,,1383082,6/23/2017
4:00 AM,,2 Chainz,,1289282,6/23/2017
4:00 AM,,2 Chainz,,1259679,1/13/2017
4:00 AM,,2 Chainz,,2203280,2/16/2018
4:00 AM,,2 Chainz,,1796744,2/16/2018
4:00 AM,,2 Chainz,,1793708,2/2/2018
4:00 AM,,2 Chainz,,1081383,12/30/2016
4:00 AM,,2 Chainz,Travis Scott,3758393,3/8/2019
4:00 AM,,2 Chainz,Ariana Grande,3169156,3/8/2019
1.5,,2 Chainz,Kendrick Lamar,2427750,3/8/2019
1.5,,2 Chainz,Young Thug,2017337,3/8/2019
1.5,,2 Chainz,,1385895,3/3/2017
1.5,,2 Chainz,,1540989,3/17/2017
8,,2 Chainz,,1336398,3/17/2017
8,,2 Chainz,,1121693,1/6/2017
8,,2 Chainz,,2220591,11/17/2017
8,,2 Chainz,,1510905,11/17/2017
8,,2 Chainz,,2375685,11/3/2017
8,,2 Chainz,,1565760,11/3/2017
9.13,,2 Chainz,"Drake, Quavo",2218882,7/27/2018
66,,2 Chainz,Travis Scott,1514301,3/22/2019
